,descripcion,nombre,precio,puntuacion,ubicacion,barrio,lat,long,punto,Aparcamiento privado de pago cerca,Internet de alta velocidad gratuito (wifi),Jacuzzi,Bar/salón,Actividades para niños (acondicionado para familias / niños),Servicio de taxi,Centro de negocios con acceso a Internet,Salas de reuniones,Albornoces,Aire acondicionado,Mesa de escritorio,Servicio de limpieza,Servicio de habitaciones,Cafetera/tetera,Televisor de pantalla plana,Bañera/ducha,Aparcamiento público de pago cerca,Gimnasio / Sala de entrenamiento,Envoltura corporal,Cortinas opacas,Minibar,TV por cable o satélite,Camas extragrandes,Ducha a ras de suelo,Piscina,Transporte desde/al aeropuerto,Terraza en el ático,Vigilancia 24 horas,Balcón privado,Frigorífico,Aparcamiento privado de pago dentro del recinto,Alquiler de coches,Instalaciones para conferencias,Habitación hipoalergénica,Suite nupcial,Espacio para guardar el equipaje,Conserje,Recepción 24 horas,Lavado en seco,Caja fuerte,Secador de pelo,Aparcamiento en la calle,Cafetería,Teléfono,Artículos de aseo gratuitos de cortesía,Guardería,Sofá cama,Bañera de hidromasaje,Punto de recarga de vehículos eléctricos,Alquiler de bicicletas,Pub/DJ,Se admiten mascotas,Servicio de aparcacoches,Desayuno gratuito,Desayuno disponible,Registro de entrada 24 horas,Tronas disponibles,Carritos de bebé,Canales de televisión infantiles,Piscina en la azotea,Zona para tomar el sol,Terraza-solario,Sofá,Aparcamiento,Masaje,Equipamiento para sala VIP,Películas bajo demanda,Cocina americana,Microondas,Consola de videojuegos,Transporte gratuito desde/al aeropuerto,Animación nocturna,Garaje,Wifi,Autoservicio de lavandería,Internet gratuito,Hotel de no fumadores,Armario,Perchero para la ropa,Servicio de lavandería,Chimenea,Billares,Dardos,Registro de entrada y salida exprés,Piscina de poca profundidad,Piscina exterior,Máquina expendedora,Estancia gratuita para niños,Salón de belleza,Solario,Sala de banquetes,Bicicletas disponibles,Wifi pública,Bidé,Café instantáneo de cortesía,Desayuno bufé,Servicio despertador/reloj con alarma,Wifi de pago,Servicio de planchado,Aparcamiento público de pago dentro del recinto,Cocina compartida,Clases de yoga,Sala de juegos,Sauna,Hervidor eléctrico,Karaoke,Baños privados,Secadora,Plancha,Balneario,Caja fuerte para portátiles,Piscina infinita,Restaurante,Casino y juegos de azar,Comedor,Prensa,Visitas guiadas a pie,Horno,Bar junto a la piscina,Zona de asientos,Comedor independiente,Agua embotellada,Aparcamiento gratuito,Lavadora,Servicio de traslado en autobús,Unnamed: 135,Personal de animación,Patio,Vestuarios en gimnasio o balneario,Tratamientos faciales,Zona infantil,Internet,Purificador de aire,Aparcamiento privado gratuito cerca,Servicio de lustrado de zapatos,Servicio de desayuno en la habitación,Salón compartido/sala de televisión,Piscina con vistas,Solo para adultos,Kit de primeros auxilios,Baño adicional,Juegos de mesa/puzles,Registro privado de entrada y salida,Té de cortesía,Libros, DVD y música para niños,Cambio de divisas,Zona infantil de juegos cubierta,Puerto para iPod,Piscina climatizada,Rutas en bicicleta,Baño compartido,Bar de tapas,Paraguas,Servicios gratuitos de traslado en autobús o taxi,Senderismo,Pista de tenis,Bar en la azotea,Lavavajillas,Masaje de cuerpo entero,Campo de golf,Tiendas,Suelo de baldosas o mármol,Fotocopiadora/fax en el centro de negocios,Hammam (baño turco),Aparcamiento vigilado,Mobiliario exterior,Aparcamiento público gratuito cerca,Instalaciones para hacer barbacoas,Sala de estar independiente,Utensilios de cocina,Piscina vallada,Internet de pago,Radio,Habitaciones de no fumadores,Suites,Habitaciones insonorizadas,Vistas a la ciudad,Habitaciones para familias,Habitaciones interconectadas disponibles,Vistas a sitios de interés turístico,Habitaciones para fumadores disponibles,Vistas a la montaña,Unnamed: 193,Vistas a la piscina
0,"El Heritage Madrid Hotel cuenta con 46 habitaciones, 7 de ellas suites, donde nuestro principal objetivo es hacerle sentir una experiencia única en uno de los mejores hoteles de Madrid. Todas las habitaciones disponen de conexión wifi de alta velocidad, televisión de pantalla plana y Ihome destinados a hacer su estancia más cómoda y agradable. Los muebles del siglo XIX restaurados con cariño que componen cada habitación han sido traídos de distintos países de Europa propiciando un ambiente acogedor y tranquilo. En Heritage Madrid Hotel todos los detalles están cuidados al máximo detalle con lujo, refinamiento y comodidad haciéndole sentir como en casa.",Relais & Chateaux Heritage Madrid Hotel,354,5.0,"Calle de Diego de León, 43, 28006, Madrid",Castellana,40.4348678,-3.6790648,POINT (-3.6790648 40.4348678),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,"Only YOU Boutique Hotel Madrid te ofrece la oportunidad de vivir una experiencia única y exclusiva. Encontrarás un lugar excepcional, un lugar donde suceden cosas que querrás compartir y de las que tú eres el protagonista. En el corazón de la capital, en un palacete del siglo XIX completamente reformado, se encuentra nuestro hotel diseñado para ti.",Only YOU Boutique Hotel Madrid,237,5.0,"Calle Barquillo, 21, 28004, Madrid",Barrio no encontrado,40.55624205,-3.327739945945809,POINT (-3.327739945945809 40.55624205),0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2,"Bienvenido a Dear Hotel,el nuevo hotel boutique de diseño en el centro de Madrid,con impresionantes vistas sobre Gran Vía y Plaza de España.El hotel cuenta en la planta 14 con el Restaurante & Lounge bar Nice to meet you,con terraza panorámica,vistas 360ºy una Skypool. Cocina actual,en un ambiente cosmopolita y distendido,cócteles,y música DJ.",Dear Hotel Madrid,164,4.5,"Calle Gran Vía, 80, 28013, Madrid",Barrio no encontrado,40.47083205,-3.871344282431271,POINT (-3.871344282431271 40.47083205),1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3,"Only YOU Hotel Atocha: El hotel se encuentra ubicado en una zona céntrica de Madrid, en el paseo Infanta Isabel, frente a la estación de tren Madrid Puerta de Atocha y a escasos metros del parque del Retiro. A la belleza del edificio histórico, se añade su cuidado diseño, un interiorismo basado en el juego ecléctico de recursos con un carácter sofisticadamente desenfadado con la intención de crear un ambiente de confort urbano.",Only YOU Hotel Atocha,167,5.0,"Paseo de la Infanta Isabel, 13, 28014, Madrid",Atocha,40.40727865,-3.688039313174532,POINT (-3.688039313174532 40.40727865),0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
4,"El hotel ARTIEM Madrid se convertirá en tu segunda casa cuando viajes por negocios. Este rincón es perfecto para celebrar una reunión, inspirarse para trabajar, seguir tu rutina deportiva y, por supuesto desconectar de la capital. Aquí, encontraras paz y descanso. Te enamorará este pequeño oasis urbano con mucho “green” diseñado para convertirse en el refugio al que regresar para relajarse después de un intenso día en Madrid. Ubicado en el barrio residencial de Arturo Soria, a tan solo 15 minutos del aeropuerto y 12 minutos en coche del centro de Madrid.",ARTIEM Madrid,101,5.0,"Calle Juan Pérez Zúñiga, 20, 28027, Madrid",Barrio no encontrado,40.7656182,-3.7794442,POINT (-3.7794442 40.7656182),0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5,"¿Buscas donde alojarte en Madrid? Entonces no te pierdas Artrip Hotel, un hotel boutique que te acerca a lo mejor de Madrid.
Las habitaciones de los huéspedes incluyen televisor de pantalla plana y aire acondicionado, y Artrip Hotel te ayuda a que estés conectado, ya que dispone de wifi gratuito.
También puedes aprovechar algunos de los servicios que ofrece el hotel, como recepción abierta 24 horas, conserje y espacio para guardar el equipaje. Además, los huéspedes pueden disfrutar de desayuno buffet durante su visita. Otra ventaja añadida es que hay aparcamiento público de pago cerca disponible para los huéspedes.",Artrip Hotel,150,5.0,"Calle de Valencia, 11, 28012, Madrid",Barrio no encontrado,40.43166585,-3.52706024284404,POINT (-3.52706024284404 40.43166585),0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
6,"El Hotel Riu Plaza España abrió sus puertas en agosto de 2019 en el Edificio España que es el octavo edificio más alto de Madrid, España, y uno de los edificios más icónicos de la ciudad. Es un ejemplo de la arquitectura española del siglo 20 construido en estilo neobarroco. Se encuentra a unos aprox. 20 km del aeropuerto de Madrid-Barajas Adolfo Suárez (MAD). Este hotel es ideal tanto para viajes de ocio como de negocios. Las 584 habitaciones de diseño moderno y elegantemente decoradas, con Wi-Fi gratuito, ofrecen el máximo confort y descanso. En las 17 elegantes y modernas salas de conferencias podrá organizar con éxito sus eventos y reuniones. Para los amantes de la gastronomía, se ofrece a los huéspedes un restaurante buffet, así como un Sky Bar y un Lobby Bar para aperitivos y bebidas. Visite la reinventada azotea. La terraza de 360º cuenta ahora con un nuevo Gastrobar llamado El Edén y un atractivo más que se suma a sus espectaculares vistas de la capital: un mirador transparente que da a la recién inaugurada Plaza de España. Este balcón acristalado que cuelga a 100 metros de altura sobre el suelo ofrece a los visitantes más intrépidos una panorámica espectacular de la zona sur de la capital.",Hotel Riu Plaza España,169,4.0,"Calle Gran Vía, 84, 28013, Madrid",Barrio no encontrado,40.47083205,-3.871344282431271,POINT (-3.871344282431271 40.47083205),0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
7,"El Hotel ME Madrid Reina Victoria se encuentra estratégicamente situado en el centro de la ciudad, con fácil acceso a los principales puntos de interés como son los Museos del Prado, Thyssen-Bornemisza y Reina Sofía, el Parque del Retiro, el Congreso, Puerta del Sol, Plaza Mayor, el Palacio Real y la zona comercial y empresarial.",ME Madrid Reina Victoria,225,4.5,"Plaza de Santa Ana, 14, 28012, Madrid",Embajadores,40.41456395,-3.7015890513330527,POINT (-3.7015890513330527 40.41456395),0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
8,"El Gran Hotel Inglés data del año 1886, el primer hotel construido en Madrid. Totalmente restaurado y renovado bajo la dirección artística de Rockwell Group. El hotel se ha convertido en una de las propiedades más lujosas de Madrid. Situado en una ubicación incomparable en el centro de la ciudad, se encuentra cerca de la zona cultural, el área comercial y las zonas de ocio de la capital. Entre sus muchos atributos se destaca un sofisticado restaurante que combina tradición e innovación en su gastronomía, un completo gimnasio con equipamiento de vanguardia con un variado programa de servicios y actividades, y una zona de bienestar integral con amplia variedad de productos y tratamientos exclusivos.",Gran Hotel Inglés,496,5.0,"Calle de Echegaray, 8, 28014, Madrid",Cortes,40.4159077,-3.699693,POINT (-3.699693 40.4159077),0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
9,"EL HOTEL PRÍNCIPE PÍO ESTA SITUADO EN EL CORAZÓN DE MADRID.
Con un total de 148 habitaciones y con una ubicación privilegiada Frente al Palacio Real y enclavado en el centro histórico, cultural y de ocio de Madrid-, el hotel Príncipe Pío es el establecimiento perfecto para visitar la capital, ya sea por viajes de negocios, o bien, para disfrutar de la oferta cultural y gastronómica de Madrid acompañado por la familia.",Hotel Principe Pio,83,4.0,"Cuesta de San Vicente, 14, 28008, Madrid",Palacio,40.421359,-3.7149851843297927,POINT (-3.7149851843297927 40.421359),1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
10,"Elegante hotel de diseño que se encuentra en la exclusiva zona del Paseo del Prado, junto a la Bolsa de Madrid, la Plaza Neptuno y a pocos minutos andando del Museo del Prado y del Parque del Retiro. Ubicado en un antiguo edificio de cinco alturas, construido a principios del siglo XIX. Todas las habitaciones cuentan con WIFI gratuito en todo el edificio. El hotel cuenta con 71 elegantes habitaciones repartidas en cinco pisos y un apartamento totalmente equipado con cocina incluida. Todas las habitaciones están decoradas con muebles modernos y a su vez cómodos para asegurar que al cliente no le falta nada durante su estancia. En el restaurante del Hotel Petit Palace Lealtad Plaza se ofrece un exquisito desayuno buffet cada mañana compuesto por una amplia selección de productos y platos tanto calientes como fríos para que los clientes puedan empezar el día con la energía necesaria. El hotel ofrece un exclusivo alquiler de bicicletas de forma gratuita y acepta mascotas hasta un máximo de 15 kg (cestas y cuencos disponibles gratuitamente). Recepción de 24 horas.",Petit Palace Lealtad Plaza,143,4.5,"Calle Antonio Maura, 5, 28014, Madrid",Barrio no encontrado,40.5860137,-3.9217182,POINT (-3.9217182 40.5860137),1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
11,"Moderno Boutique hotel de diseño cuatro estrellas, situado en la principal calle comercial de Madrid, calle Preciados. Su excelente ubicación, entre Plaza España – Gran Vía – Paseo del Prado – Puerta del Sol y Plaza Mayor, permite ofrecer a sus clientes los mayores atractivos culturales y comerciales de Madrid. MINIBAR y WIFI GRATUITO en todas las habitaciones.La tranquilidad en su entorno, cortesía, elegancia y la comodidad, son el encanto y la grandeza del Hotel Preciados.",Hotel Preciados,134,4.5,"Calle Preciados, 37, 28013, Madrid",Palacio,40.4196853,-3.7074213,POINT (-3.7074213 40.4196853),0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
12,"¿Buscas un lugar para alojarte en Madrid? Entonces no te pierdas Caballero Errante Hotel, un hotel económico que te acerca a lo mejor de Madrid. Las habitaciones de los huéspedes estan equipadas con todo lo necesario para una estancia agradable. También puedes aprovechar algunos de los servicios que ofrece el hotel, como recepción abierta las 24 horas, registro de entrada las 24 horas. Además, los huéspedes pueden disfrutar de desayuno durante su visita. Como una comodidad adicional, hay estacionamiento (de pago) disponible para los huéspedes. Al estar cerca de algunos de los puntos de referencia más populares de Madrid, como Paseo de la Castellana, Faro de Moncloa (3,9 km) y Metrópolis (3,9 km), Caballero Errante Hotel es un magnífico destino para turistas. Mientras estés en Madrid, quizás quieras ir a algunos de los restaurantes que se encuentran a poca distancia a pie de Caballero Errante Hotel, como DiverXO (0,8 km), De Maria Felix Boix (0,4 km) y Sacha (0,6 km). Durante su visita, asegúrese de visitar atracciones populares como Stadio Santiago Bernabeu (1,0 km), Centro de Exposiciones de Arte del Canal (0,4 km) y Paseo de la Castellana (0,9 km), a las que se puede acceder a pie desde el hotel. Estamos seguros de que disfrutarás de tu estancia en Caballero Errante Hotel mientras descubres todo lo que Madrid tiene para ofrecer.",Hotel Caballero Errante,65,4.5,"Calle Pinos Alta, 14, 28029, Madrid",Valdeacederas,40.4699865,-3.7000827,POINT (-3.7000827 40.4699865),0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
13,"Un hotel que piensa en el viajero urbanita, el que quiere disfrutar de la ciudad y de su parte más vibrante y cosmopolita, pero el que también quiere encontrar un punto de desconexión y relax sin salir del hotel.
Desayunar en la terraza, comer una pizza con sello napolitano, disfrutar de un cóctel con una de las mejores vistas panorámicas de Madrid o hacerte una foto durante el atardecer. Todo ello es posible aquí.",Pestana CR7 Gran Vía Madrid,140,4.5,"Calle Gran Vía, 29, 28013, Madrid",Barrio no encontrado,40.47083205,-3.871344282431271,POINT (-3.871344282431271 40.47083205),0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14,"Si buscas un hotel con encanto en Madrid, no te pierdas Catalonia Atocha.
Como está cerca de la mayoría de los puntos de referencia de Madrid, como Plaza de Santa Ana (0,4 km) y La Latina (0,9 km), Catalonia Atocha Calle Atocha 81 Hotel es un fantástico destino para turistas.
Las habitaciones de los huéspedes incluyen televisor de pantalla plana, aire acondicionado y minibar, y Catalonia Atocha te ayuda a que estés conectado, ya que dispone de wifi gratuito.",Catalonia Atocha,160,4.5,"Calle de Atocha, 81, 28012, Madrid",Embajadores,40.4119257,-3.6977945,POINT (-3.6977945 40.4119257),0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
15,"Axel Hotel Madrid está ubicado en el número 49 de la calle Atocha, ubicado en el popular Barrio de las Letras, y rodeado de las calles más emblemáticas de la ciudad, en un enclave bohemio que combina diversión, compras y buena gastronomía. El hotel dispondrá de 88 habitaciones y en Axel Hotel Madrid encontrarás tu punto de encuentro en la capital, con sus innovadores espacios de ocio en los que cuidarte y divertirte, siempre fiel al concepto Axel de estilo, diseño, confort y ambiente cosmopolita.",Axel Hotel Madrid,121,4.5,"Calle de Atocha, 49, 28012, Madrid",Embajadores,40.413134,-3.7005625,POINT (-3.7005625 40.413134),1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,La estancia perfecta en una convención de trabajo. Dejé mi portátil olvidado en la habitación y la atención y gestión por parte del hotel ha sido perfecta. Cuando las cosas dejan de ser normales se demuestra la excelencia y lo han clavado. Gracias,Canopy by Hilton Madrid Castellana,173,4.5,"Plaza Carlos Trias Bertran, 4, 28020, Madrid",Cuatro Caminos,40.4520386,-3.6939437,POINT (-3.6939437 40.4520386),0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
